text,start,duration,end,dominant_emotion
guys welcome to be body fitness i'm in,0.16,3.92,4.08,fear
front of the motivation wall something,2.48,4.08,6.5600000000000005,
that's meaningful to us is to empower,4.08,5.76,9.84,
our members slash your employees to be,6.56,6.56,13.12,
thankful to be authentic to be real to,9.84,6.08,15.92,
be strong to be transformed and if you,13.12,4.48,17.6,
entrust us with your employees i,15.92,3.92,19.84,
guarantee we will not let you down they,17.6,4.56,22.16,
will have the energy the stamina the,19.84,4.96,24.8,
motivation to get the work done at be,22.16,4.08,26.240000000000002,
body fitness for our corporate,24.8,3.68,28.48,
membership we're offering a 20 discount,26.24,4.879,31.119,
now you have to maintain 10 or more,28.48,5.52,34.0,
employees but it's a 20 discount on all,31.119,4.321,35.44,
of our memberships you can go with,34.0,4.0,38.0,
whatever membership you want it's 20 off,35.44,4.24,39.68,
every single month think about it here,38.0,4.0,42.0,
at be body fitness your employees come,39.68,4.16,43.84,
they're in an amazing workout they're,42.0,4.16,46.16,
inspired to share their goals their,43.84,4.559,48.399,
dreams their ambitions they want to take,46.16,4.239,50.398999999999994,
themselves to the next level that's what,48.399,4.8,53.199,
we do with peabody fitness we inspire,50.399,5.281,55.68,
your employees our members to get to the,53.199,6.641,59.839999999999996,
next level let's do it,55.68,4.16,59.84,
