text,start,duration,end,dominant_emotion
hello everyone i am dr ahmed ergen i'm,0.24,5.44,5.680000000000001,NA
an endocrinologist a diabetes educator,2.639,7.04,9.679,neutral
and founder of sugar md yes this channel,5.68,5.039,10.719,neutral
today,9.679,4.321,14.0,happy
i am talking about traveling with,10.719,6.001,16.72,happy
diabetes i have a little guess for you,14.0,6.64,20.64,happy
today its name is for all family it's,16.72,7.28,24.0,happy
acute cooler for your medicines i'm sure,20.64,5.44,26.080000000000002,happy
there is a lot of misconception out,24.0,5.519,29.519,happy
there for many new or recently diagnosed,26.08,5.84,31.919999999999998,neutral
diabetes with people even for diabetes,29.519,4.88,34.399,neutral
veterans they might not know this and,31.92,4.159,36.079,neutral
they may be saying that,34.399,5.361,39.76,neutral
now i have diabetes my travel ability is,36.079,4.881,40.96,neutral
limited,39.76,4.16,43.92,neutral
or i may not take my insulin because i'm,40.96,5.68,46.64,neutral
traveling or their a1c is high because,43.92,5.28,49.2,neutral
they're traveling and so forth well,46.64,5.84,52.480000000000004,neutral
that's a myth technology and signs,49.2,6.64,55.84,happy
evolve every day and thankfully life,52.48,5.919,58.398999999999994,happy
with diabetes and other chronic diseases,55.84,6.0,61.84,neutral
is way less stressful than it used to be,58.399,4.241,62.64,neutral
yes,61.84,4.639,66.479,neutral
choosing the correct gears and equipment,62.64,6.72,69.36,neutral
is a game changer it's very crucial part,66.479,4.721,71.2,neutral
of the whole equation,69.36,5.04,74.4,neutral
so today i am reviewing,71.2,5.04,76.24000000000001,neutral
for all family,74.4,4.8,79.2,neutral
innovative medicine coolers which i do,76.24,5.68,81.91999999999999,happy
believe is the solution for traveling,79.2,6.72,85.92,happy
with not only for diabetes but with all,81.92,7.12,89.04,happy
other sensitive medications that are,85.92,5.76,91.68,happy
tailored perfectly to your needs i am,89.04,5.2,94.24000000000001,happy
talking about this cooler because it,91.68,5.68,97.36000000000001,happy
seems that they are the most reliable,94.24,5.919,100.15899999999999,happy
the most versatile and most robust in,97.36,5.36,102.72,neutral
the market as far as i can see,100.159,4.64,104.799,neutral
let me explain why also by the way at,102.72,3.759,106.479,neutral
the end of this video remember to visit,104.799,4.081,108.88000000000001,happy
the description below to get the special,106.479,4.881,111.36,neutral
discount that i asked from the,108.88,5.919,114.79899999999999,neutral
manufacturer just for you first of all,111.36,5.28,116.64,neutral
the story of the brand is very,114.799,2.881,117.68,neutral
interesting,116.64,3.68,120.32000000000001,neutral
a vacation disaster originally inspired,117.68,5.759,123.43900000000001,neutral
the founders of for all family a friend,120.32,5.759,126.079,happy
with type 1 diabetes lost his entire,123.439,5.281,128.72,happy
insulin stash when it was spoiled by hot,126.079,5.441,131.51999999999998,neutral
temperatures as a result the company,128.72,5.599,134.319,neutral
based in albania now builds high,131.52,6.48,138.0,happy
capacity coolers designed to withstand,134.319,6.721,141.04,happy
the extreme summer conditions i will go,138.0,6.319,144.319,happy
over their models and i kept the best,141.04,4.8,145.84,happy
one to,144.319,4.081,148.39999999999998,happy
the last because i want you to keep,145.84,5.759,151.599,happy
watching for a complete review and make,148.4,5.36,153.76000000000002,happy
the best decision if you are planning to,151.599,4.801,156.39999999999998,happy
buy for all family medicine cooler the,153.76,6.4,160.16,happy
classic model works on a dual technology,156.4,7.52,163.92000000000002,happy
having a biogel ice pack designed not to,160.16,7.2,167.35999999999999,happy
freeze insulin and a cooling top that,163.92,6.399,170.319,happy
runs on usb power the best part is that,167.36,5.36,172.72000000000003,happy
you can combine both the ice pack and,170.319,5.92,176.23899999999998,happy
the usb cooling this way you transform,172.72,7.04,179.76,happy
your unit into a mini fridge that would,176.239,6.801,183.04,happy
keep the fridge temperature at around 36,179.76,7.199,186.959,happy
to 45 fahrenheit for 50 hours,183.04,7.04,190.07999999999998,happy
and room temperature for around 36 to 79,186.959,5.601,192.56,happy
fahrenheit for more than 72 hours which,190.08,4.48,194.56,happy
is the best in the market,192.56,4.319,196.879,happy
thanks to it is dual technology it can,194.56,4.24,198.8,happy
be configured into three different,196.879,3.44,200.319,happy
cooling methods,198.8,4.56,203.36,happy
making it the most versatile solution,200.319,5.601,205.92,happy
out there also the unit is not even,203.36,6.0,209.36,happy
bulky at all so staying at,205.92,6.48,212.39999999999998,happy
9 inch tall and only 3.3 inches wide,209.36,5.12,214.48000000000002,happy
this product is designed in such a way,212.4,4.479,216.87900000000002,happy
that it can also one of the most,214.48,4.96,219.44,happy
spacious in the market as you can see it,216.879,5.28,222.159,happy
can keep so many insulin pins and it's,219.44,5.359,224.799,happy
very practical to carry around it can be,222.159,4.8,226.959,happy
your number one choice for long distance,224.799,3.36,228.15900000000002,happy
traveling,226.959,4.161,231.12,happy
since it can be charged in the car in,228.159,5.44,233.599,happy
the trains the airplane and also would,231.12,4.8,235.92000000000002,happy
be your best friend while camping the,233.599,6.401,240.0,neutral
better news is that they are constantly,235.92,7.28,243.2,happy
innovating upgrading and adding value to,240.0,6.319,246.319,happy
the community so as next upgrade this,243.2,7.119,250.319,happy
newly upgraded usb lid is very powerful,246.319,7.601,253.92,happy
and also has built-in intelligence that,250.319,5.28,255.599,happy
would automatically regulate the,253.92,5.12,259.03999999999996,happy
temperature between 36 to 45 fahrenheit,255.599,7.441,263.03999999999996,happy
at all the time so the best part is it,259.04,6.719,265.759,happy
comes with a temperature display where,263.04,5.2,268.24,happy
you can check the temperature in real,265.759,6.16,271.91900000000004,happy
time giving you that confidence boost,268.24,6.88,275.12,happy
that you all need when traveling with,271.919,5.681,277.59999999999997,neutral
expensive diabetes medications,275.12,5.04,280.16,neutral
this model with temperature control is,277.6,4.879,282.47900000000004,happy
the brand flex ship model,280.16,5.84,286.0,happy
but my favorite part is the models that,282.479,6.961,289.44,happy
are interchangeable meaning if you would,286.0,6.479,292.479,happy
like to upgrade to a better model you,289.44,6.319,295.759,happy
simply get delete separately without,292.479,5.841,298.32,happy
getting a whole new unit,295.759,5.601,301.36,happy
having such options in just one unit,298.32,5.92,304.24,happy
would allow you to perfectly optimize,301.36,5.839,307.199,fear
your travel configuration tailored to,304.24,4.239,308.479,neutral
your needs,307.199,4.401,311.6,neutral
for all family brand products come,308.479,5.681,314.15999999999997,neutral
with one year warranty and they are,311.6,6.0,317.6,NA
proved to be highly reliable so,314.16,5.68,319.84000000000003,NA
that's my two cents on this product if,317.6,4.8,322.40000000000003,NA
you like the idea and want to check it,319.84,5.44,325.28,NA
out please go to the description below,322.4,5.92,328.32,NA
to get the special discount for being a,325.28,5.04,330.32,NA
sugar md follower,328.32,3.28,331.59999999999997,NA
see you all,330.32,5.2,335.52,NA
stay safe and stay cool,331.6,3.92,335.52000000000004,NA
hey guys i hope you are enjoying this,336.08,4.399,340.479,NA
channel so far and i hope you subscribed,338.08,3.44,341.52,NA
already,340.479,3.521,344.0,NA
if you didn't do it and if you did,341.52,4.399,345.919,NA
watch this video right there i think,344.0,5.72,349.72,NA
that will help you too,345.919,3.801,349.71999999999997,NA
