,frame,dominant_race,dominant_emotion,age
0,0.jpg,,,
1,1.jpg,,,
2,10.jpg,,,
3,11.jpg,,,
4,12.jpg,,,
5,13.jpg,,,
6,14.jpg,,,
7,15.jpg,white,fear,39.0
8,16.jpg,,,
9,17.jpg,,,
10,18.jpg,,,
11,19.jpg,,,
12,2.jpg,,,
13,20.jpg,,,
14,21.jpg,,,
15,22.jpg,,,
16,23.jpg,,,
17,24.jpg,,,
18,25.jpg,,,
19,26.jpg,,,
20,27.jpg,,,
21,28.jpg,asian,neutral,43.0
22,29.jpg,asian,happy,43.0
23,3.jpg,,,
24,30.jpg,,,
25,31.jpg,,,
26,32.jpg,,,
27,33.jpg,,,
28,34.jpg,,,
29,35.jpg,,,
30,36.jpg,,,
31,37.jpg,,,
32,38.jpg,,,
33,39.jpg,,,
34,4.jpg,,,
35,40.jpg,,,
36,41.jpg,,,
37,42.jpg,,,
38,43.jpg,,,
39,44.jpg,,,
40,45.jpg,,,
41,46.jpg,,,
42,47.jpg,,,
43,48.jpg,,,
44,49.jpg,white,happy,30.0
45,5.jpg,,,
46,50.jpg,,,
47,51.jpg,,,
48,52.jpg,,,
49,53.jpg,,,
50,54.jpg,,,
51,55.jpg,,,
52,56.jpg,,,
53,57.jpg,,,
54,58.jpg,,,
55,59.jpg,asian,fear,47.0
56,6.jpg,,,
57,60.jpg,,,
58,61.jpg,,,
59,62.jpg,white,sad,38.0
60,63.jpg,,,
61,64.jpg,white,sad,42.0
62,65.jpg,,,
63,66.jpg,white,sad,40.0
64,67.jpg,,,
65,7.jpg,,,
66,8.jpg,,,
67,9.jpg,,,
