,frame,dominant_race,dominant_emotion,age
0,0.jpg,,,
1,1.jpg,,,
2,10.jpg,white,neutral,36.0
3,100.jpg,white,fear,31.0
4,101.jpg,white,angry,31.0
5,102.jpg,white,fear,33.0
6,103.jpg,white,fear,31.0
7,104.jpg,white,neutral,32.0
8,105.jpg,white,surprise,31.0
9,106.jpg,white,fear,36.0
10,107.jpg,white,neutral,31.0
11,108.jpg,white,surprise,30.0
12,109.jpg,white,sad,31.0
13,11.jpg,white,fear,29.0
14,110.jpg,white,surprise,34.0
15,111.jpg,white,fear,28.0
16,112.jpg,white,surprise,35.0
17,113.jpg,white,fear,31.0
18,114.jpg,white,fear,34.0
19,115.jpg,white,surprise,34.0
20,116.jpg,white,surprise,32.0
21,117.jpg,white,fear,29.0
22,118.jpg,white,fear,29.0
23,119.jpg,white,fear,30.0
24,12.jpg,white,fear,32.0
25,120.jpg,white,neutral,32.0
26,121.jpg,white,surprise,28.0
27,122.jpg,white,fear,30.0
28,123.jpg,white,fear,31.0
29,124.jpg,white,surprise,30.0
30,125.jpg,white,angry,32.0
31,126.jpg,white,fear,32.0
32,127.jpg,white,fear,36.0
33,128.jpg,white,fear,31.0
34,129.jpg,white,angry,29.0
35,13.jpg,white,surprise,32.0
36,130.jpg,white,fear,41.0
37,131.jpg,white,angry,27.0
38,132.jpg,white,neutral,27.0
39,133.jpg,white,fear,29.0
40,134.jpg,white,fear,30.0
41,135.jpg,white,surprise,33.0
42,136.jpg,white,surprise,29.0
43,137.jpg,white,fear,29.0
44,138.jpg,white,fear,34.0
45,139.jpg,white,surprise,36.0
46,14.jpg,white,fear,36.0
47,140.jpg,white,angry,29.0
48,141.jpg,white,fear,30.0
49,142.jpg,white,surprise,30.0
50,143.jpg,white,fear,29.0
51,144.jpg,white,angry,35.0
52,145.jpg,middle eastern,surprise,35.0
53,146.jpg,white,angry,31.0
54,147.jpg,white,fear,33.0
55,148.jpg,white,sad,31.0
56,149.jpg,white,neutral,34.0
57,15.jpg,white,neutral,34.0
58,150.jpg,white,fear,27.0
59,151.jpg,white,sad,35.0
60,152.jpg,white,neutral,32.0
61,153.jpg,white,fear,28.0
62,154.jpg,white,neutral,34.0
63,155.jpg,white,fear,38.0
64,156.jpg,white,fear,31.0
