,frame,dominant_race,dominant_emotion,age
0,0.jpg,white,neutral,37.0
1,1.jpg,,,
2,10.jpg,white,happy,26.0
3,11.jpg,,,
4,12.jpg,,,
5,13.jpg,,,
6,14.jpg,indian,neutral,40.0
7,15.jpg,,,
8,16.jpg,black,sad,34.0
9,17.jpg,,,
10,18.jpg,,,
11,19.jpg,,,
12,2.jpg,,,
13,20.jpg,,,
14,21.jpg,,,
15,22.jpg,,,
16,23.jpg,,,
17,24.jpg,,,
18,25.jpg,,,
19,26.jpg,,,
20,27.jpg,,,
21,28.jpg,,,
22,29.jpg,,,
23,3.jpg,,,
24,30.jpg,,,
25,31.jpg,middle eastern,fear,40.0
26,32.jpg,,,
27,33.jpg,,,
28,34.jpg,,,
29,35.jpg,black,neutral,28.0
30,36.jpg,white,sad,30.0
31,37.jpg,,,
32,38.jpg,,,
33,39.jpg,,,
34,4.jpg,,,
35,40.jpg,,,
36,41.jpg,,,
37,42.jpg,,,
38,43.jpg,,,
39,44.jpg,,,
40,45.jpg,white,angry,27.0
41,46.jpg,,,
42,47.jpg,,,
43,48.jpg,,,
44,49.jpg,,,
45,5.jpg,,,
46,50.jpg,,,
47,51.jpg,,,
48,52.jpg,,,
49,53.jpg,,,
50,54.jpg,white,angry,28.0
51,55.jpg,,,
52,56.jpg,,,
53,57.jpg,,,
54,58.jpg,,,
55,59.jpg,,,
56,6.jpg,,,
57,60.jpg,indian,sad,33.0
58,61.jpg,,,
59,62.jpg,,,
60,63.jpg,,,
61,64.jpg,,,
62,65.jpg,,,
63,66.jpg,,,
64,67.jpg,,,
65,68.jpg,,,
66,69.jpg,,,
67,7.jpg,indian,fear,35.0
68,70.jpg,,,
69,8.jpg,,,
70,9.jpg,indian,sad,40.0
