,frame,dominant_race,dominant_emotion,age
0,0.jpg,,,
1,1.jpg,,,
2,10.jpg,,,
3,100.jpg,white,surprise,39.0
4,101.jpg,,,
5,102.jpg,,,
6,103.jpg,asian,angry,29.0
7,104.jpg,white,fear,25.0
8,105.jpg,white,fear,27.0
9,106.jpg,,,
10,107.jpg,,,
11,108.jpg,,,
12,109.jpg,,,
13,11.jpg,,,
14,110.jpg,,,
15,111.jpg,,,
16,112.jpg,,,
17,113.jpg,,,
18,114.jpg,,,
19,115.jpg,,,
20,116.jpg,,,
21,117.jpg,,,
22,118.jpg,,,
23,119.jpg,white,sad,28.0
24,12.jpg,,,
25,120.jpg,,,
26,121.jpg,,,
27,122.jpg,,,
28,123.jpg,,,
29,124.jpg,,,
30,125.jpg,,,
31,126.jpg,white,sad,32.0
32,127.jpg,,,
33,128.jpg,white,angry,35.0
34,129.jpg,asian,happy,28.0
35,13.jpg,,,
36,130.jpg,,,
37,131.jpg,white,sad,34.0
38,132.jpg,white,sad,43.0
39,133.jpg,,,
40,134.jpg,,,
41,135.jpg,,,
42,136.jpg,white,sad,38.0
43,137.jpg,white,happy,26.0
44,138.jpg,,,
45,139.jpg,asian,neutral,37.0
46,14.jpg,white,fear,28.0
47,140.jpg,,,
48,141.jpg,,,
49,142.jpg,,,
50,143.jpg,,,
51,144.jpg,,,
52,145.jpg,,,
53,146.jpg,,,
54,147.jpg,,,
55,148.jpg,,,
56,149.jpg,,,
57,15.jpg,latino hispanic,surprise,40.0
58,150.jpg,,,
59,151.jpg,white,fear,25.0
60,152.jpg,white,surprise,31.0
61,153.jpg,white,neutral,24.0
62,154.jpg,latino hispanic,fear,32.0
63,155.jpg,white,angry,39.0
64,156.jpg,,,
65,157.jpg,,,
66,158.jpg,,,
67,159.jpg,,,
68,16.jpg,,,
69,160.jpg,,,
70,161.jpg,,,
71,162.jpg,,,
72,163.jpg,,,
73,164.jpg,,,
74,165.jpg,,,
75,166.jpg,,,
76,167.jpg,,,
77,168.jpg,,,
78,169.jpg,,,
79,17.jpg,,,
80,170.jpg,,,
81,171.jpg,,,
82,172.jpg,,,
83,173.jpg,,,
84,174.jpg,,,
85,175.jpg,,,
86,176.jpg,,,
87,177.jpg,,,
88,178.jpg,,,
