frame,dominant_race,dominant_emotion,age
0.jpg,,,
1.jpg,,,
10.jpg,white,angry,48
100.jpg,asian,sad,35
101.jpg,asian,neutral,35
102.jpg,white,neutral,43
103.jpg,white,neutral,48
104.jpg,latino hispanic,neutral,34
105.jpg,white,neutral,42
106.jpg,asian,neutral,34
107.jpg,white,angry,47
108.jpg,latino hispanic,neutral,34
109.jpg,asian,sad,36
11.jpg,white,neutral,44
110.jpg,white,neutral,45
111.jpg,white,angry,49
112.jpg,white,neutral,49
113.jpg,white,sad,46
114.jpg,,,
115.jpg,white,fear,43
116.jpg,white,neutral,43
117.jpg,white,neutral,49
118.jpg,white,fear,49
119.jpg,white,neutral,34
12.jpg,middle eastern,neutral,34
120.jpg,white,neutral,44
121.jpg,white,angry,49
122.jpg,white,neutral,45
123.jpg,white,fear,51
124.jpg,white,angry,47
125.jpg,white,neutral,51
126.jpg,asian,neutral,35
127.jpg,white,neutral,50
128.jpg,white,neutral,49
129.jpg,white,neutral,47
13.jpg,middle eastern,fear,34
130.jpg,white,neutral,55
131.jpg,white,neutral,52
132.jpg,,,
14.jpg,white,sad,26
15.jpg,white,angry,43
16.jpg,white,angry,49
17.jpg,white,neutral,47
18.jpg,white,neutral,48
19.jpg,white,neutral,47
2.jpg,,,
20.jpg,white,angry,46
21.jpg,white,neutral,45
22.jpg,white,angry,50
23.jpg,white,angry,25
24.jpg,white,angry,48
25.jpg,latino hispanic,sad,33
26.jpg,white,neutral,45
27.jpg,white,disgust,47
28.jpg,white,fear,51
29.jpg,white,neutral,46
3.jpg,,,
30.jpg,white,neutral,33
31.jpg,white,neutral,45
32.jpg,white,fear,51
33.jpg,middle eastern,neutral,34
34.jpg,latino hispanic,sad,34
35.jpg,white,fear,47
36.jpg,latino hispanic,sad,34
37.jpg,white,fear,43
38.jpg,white,fear,46
39.jpg,white,sad,47
4.jpg,,,
40.jpg,white,neutral,50
41.jpg,white,neutral,49
42.jpg,asian,neutral,34
43.jpg,white,neutral,49
44.jpg,white,angry,49
45.jpg,white,fear,51
46.jpg,white,neutral,47
47.jpg,asian,neutral,32
48.jpg,white,neutral,47
49.jpg,white,angry,45
5.jpg,,,
50.jpg,white,angry,49
51.jpg,white,sad,49
52.jpg,white,fear,51
53.jpg,white,fear,48
54.jpg,white,fear,50
55.jpg,white,neutral,49
56.jpg,white,angry,52
57.jpg,white,angry,46
58.jpg,white,angry,50
59.jpg,white,fear,50
6.jpg,white,fear,25
60.jpg,white,neutral,26
61.jpg,white,angry,43
62.jpg,white,angry,51
63.jpg,white,angry,49
64.jpg,latino hispanic,neutral,31
65.jpg,latino hispanic,sad,32
66.jpg,latino hispanic,neutral,31
67.jpg,white,sad,50
68.jpg,asian,sad,34
69.jpg,white,neutral,47
7.jpg,white,neutral,44
70.jpg,white,neutral,50
71.jpg,white,angry,45
72.jpg,white,neutral,48
73.jpg,white,neutral,32
74.jpg,white,neutral,25
75.jpg,latino hispanic,sad,34
76.jpg,white,angry,51
77.jpg,asian,neutral,34
78.jpg,asian,sad,35
79.jpg,white,neutral,46
8.jpg,white,neutral,44
80.jpg,middle eastern,neutral,33
81.jpg,middle eastern,angry,52
82.jpg,middle eastern,angry,49
83.jpg,latino hispanic,sad,33
84.jpg,white,neutral,49
85.jpg,latino hispanic,sad,33
86.jpg,white,fear,49
87.jpg,asian,neutral,30
88.jpg,white,angry,49
89.jpg,white,sad,46
9.jpg,asian,neutral,34
90.jpg,middle eastern,neutral,35
91.jpg,white,fear,46
92.jpg,latino hispanic,neutral,35
93.jpg,white,fear,50
94.jpg,middle eastern,neutral,34
95.jpg,white,angry,49
96.jpg,white,neutral,51
97.jpg,white,fear,48
98.jpg,latino hispanic,sad,32
99.jpg,asian,neutral,34
