text,start,duration
all right thanks everybody first of all,18.68,3.66
I want to thank Iver for such a great,20.75,3.65
talk that was awesome my love I've ergh,22.34,3.65
okay,24.4,4.81
love you bro Iver just gave my whole,25.99,4.87
talk like slides and everything so,29.21,3.36
anybody wanted to get some skiing and,30.86,3.75
that would be a great time but if you,32.57,3.39
want to hear me beat a dead horse about,34.61,2.82
insulin then you know here we go,35.96,4.17
did anyone catch the CrossFit Greg,37.43,4.17
Glassman talked last year where he,40.13,3.3
talked about the five buckets of death,41.6,4.02
it turns out that anytime somebody dies,43.43,4.89
it could be categorized as one of five,45.62,4.68
things you've got up in the top right,48.32,3.449
hand corner thirty percent of deaths,50.3,4.14
toxic kinetic microbial genetic but down,51.769,4.741
in this giant seventy percent of all,54.44,4.799
deaths you've got chronic disease and of,56.51,3.9
course the big three cancer,59.239,2.46
cardiovascular disease and chronic,60.41,2.789
neurodegenerative diseases like,61.699,4.231
Alzheimer's what we know about all this,63.199,4.501
chronic disease is that it's driven by,65.93,4.229
Seddon tation and malnutrition this is,67.7,4.31
poor diet and lack of exercise and,70.159,3.721
underpinning all of this stuff is,72.01,3.73
insulin resistance and that is why this,73.88,3.99
is such a huge big topic I mean I will,75.74,4.02
never stop talking about this because,77.87,4.5
it's really that important I just want,79.76,5.36
to say at the top of my talk here that I,82.37,5.25
use home I are a lot in my patients,85.12,4.27
these days this is homeostatic model,87.62,3.93
assessment of insulin resistance this is,89.39,3.51
my favorite way to non-invasively,91.55,2.85
measure insulin resistance to my,92.9,3.42
patients this is something you'll see,94.4,3.72
most commonly in the medical literature,96.32,4.26
when people are looking at insulin,98.12,4.35
resistance it's really just your fasting,100.58,3.38
glucose times your fasting insulin,102.47,4.77
divided by 405 and it's answering the,103.96,4.69
question and how much insulin does it,107.24,3.21
take when I'm fasting to hold my blood,108.65,4.08
sugar and my fat stores where they're at,110.45,4.26
right now average in this country is,112.73,4.2
1.75 that's really a little too high you,114.71,4.71
want to be a 1.0 or lower anything over,116.93,4.26
about two and a half is clearly insulin,119.42,3.87
resistance you could just search the,121.19,4.26
medical literature for Homa IR and any,123.29,3.99
chronic disease you can think of and,125.45,4.47
it's just a huge linear Association home,127.28,4.47
IR and cardiovascular disease huge,129.92,3.959
linear Association dying of heart,131.75,5.79
attacks huge association cancer huge,133.879,6.451
Association all forms of cancer huge,137.54,5.0
Association I mean it's just ridiculous,140.33,4.98
Alzheimer's pathology massive,142.54,4.35
association with insulin,145.31,4.61
and finally just dying all cause,146.89,6.36
mortality and home I are big association,149.92,5.37
there too so this is a really important,153.25,4.89
topic okay so now what causes insulin,155.29,4.95
resistance well we've known forever that,158.14,4.53
the more abdominal fat you have the more,160.24,4.17
insulin resistance you are this graph on,162.67,3.54
the right shows insulin levels you've,164.41,3.83
got normal in green obese and yellow and,166.21,4.32
abdominal obesity in red so we've known,168.24,4.33
that for a long time right but what,170.53,4.35
about this here's a graph of insulin,172.57,4.5
sensitivity versus body mass index and,174.88,3.9
how do you explain these people way down,177.07,4.29
here they've got a BMI less than 20 but,178.78,4.5
their insulin sensitivity is terrible,181.36,3.9
and what's going on here right well,183.28,4.679
we've known for over 50 years that the,185.26,4.77
larger you're out of a site the more,187.959,4.771
insulin resistant you are right and in,190.03,5.94
fact it's a perfectly linear Association,192.73,4.86
you're out of the site's can expand in,195.97,4.53
diameter about 20 times so if you look,197.59,4.38
at a cross-section of out besides in our,200.5,3.989
microscope they can go from maybe 10 20,201.97,5.64
microns to 200 microns that means their,204.489,4.951
volume can expand by eight thousand,207.61,3.75
times and as they get bigger they get,209.44,3.75
more insulin resistant and it's very,211.36,4.29
very linear um it turns out that large,213.19,4.56
outsides are resistant to the antibiotic,215.65,3.839
effects of insulin and it's harder to,217.75,4.62
shove more fat in there right you can,219.489,6.211
graph out fasting insulin homo IR any,222.37,5.31
marker metabolic syndrome it's perfectly,225.7,3.18
linear without up sight-size,227.68,3.869
triglycerides go up HDL goes down home,228.88,4.74
IR goes up tinsel in goes up any,231.549,5.341
metabolic syndrome or insulin resistance,233.62,5.399
marker you measure will completely,236.89,4.5
correlate up or down linearly with the,239.019,4.651
size of your adipocytes if you have,241.39,4.8
gastric bypass surgery and you manage to,243.67,3.9
shrink the size of your ateb sites,246.19,3.24
you'll reverse insulin resistance and,247.57,4.53
diabetes if you lose weight with any,249.43,4.74
mechanism it's more important how much,252.1,4.35
you shrink your adipocytes rather than,254.17,3.78
how much weight you actually lose in,256.45,3.39
terms of reversing insulin resistance,257.95,3.18
and that's why people can reverse,259.84,3.45
insulin resistance really rapidly even,261.13,3.69
before they lose a whole lot of weight,263.29,5.28
it turns out that as you get fatter your,264.82,6.3
fat cells can do one of two things you,268.57,4.26
can have adipocyte hypertrophy and,271.12,3.33
that's where your fat cell gets,272.83,4.5
overstuffed with fat and it's inflamed,274.45,4.38
and it's insulin resistant and it,277.33,2.91
doesn't want anymore fat or,278.83,3.119
or you can have out of the site,280.24,4.079
hyperplasia if you have the right,281.949,4.53
genetics you can sprout cute new little,284.319,3.781
baby fat cells that are very insulin,286.479,3.09
